 Time ,Mass ,LongitudinalMOI,RotationalMOI,CPLocation ,CGLocation,Mach number
7.05,14.657006,5.666661,0.039178,1.506389,1.108564,0.664726
7.1,14.657006,5.666661,0.039178,1.50562,1.108564,0.661936
7.15,14.657006,5.666661,0.039178,1.504588,1.108564,0.659194
7.2,14.657006,5.666661,0.039178,1.505126,1.108564,0.656427
7.25,14.657006,5.666661,0.039178,1.505249,1.108564,0.653697
7.3,14.657006,5.666661,0.039178,1.504186,1.108564,0.650969
7.35,14.657006,5.666661,0.039178,1.503549,1.108564,0.648249
7.4,14.657006,5.666661,0.039178,1.503555,1.108564,0.645539
7.45,14.657006,5.666661,0.039178,1.504061,1.108564,0.642843
7.5,14.657006,5.666661,0.039178,1.503129,1.108564,0.640164
7.55,14.657006,5.666661,0.039178,1.502151,1.108564,0.637509
7.6,14.657006,5.666661,0.039178,1.501984,1.108564,0.634868
7.65,14.657006,5.666661,0.039178,1.502929,1.108564,0.632219
7.7,14.657006,5.666661,0.039178,1.501806,1.108564,0.629585
7.75,14.657006,5.666661,0.039178,1.500824,1.108564,0.626957
7.8,14.657006,5.666661,0.039178,1.501641,1.108564,0.624384
7.85,14.657006,5.666661,0.039178,1.501905,1.108564,0.621782
7.9,14.657006,5.666661,0.039178,1.501052,1.108564,0.619207
7.95,14.657006,5.666661,0.039178,1.500993,1.108564,0.61661
8,14.657006,5.666661,0.039178,1.500363,1.108564,0.614065
8.05,14.657006,5.666661,0.039178,1.500646,1.108564,0.61151
8.1,14.657006,5.666661,0.039178,1.500524,1.108564,0.608966
8.15,14.657006,5.666661,0.039178,1.500104,1.108564,0.606449
8.2,14.657006,5.666661,0.039178,1.499555,1.108564,0.603926
8.25,14.657006,5.666661,0.039178,1.499509,1.108564,0.601419
8.3,14.657006,5.666661,0.039178,1.499604,1.108564,0.598917
8.35,14.657006,5.666661,0.039178,1.498921,1.108564,0.596452
8.4,14.657006,5.666661,0.039178,1.498849,1.108564,0.59396
8.45,14.657006,5.666661,0.039178,1.498741,1.108564,0.591493
8.5,14.657006,5.666661,0.039178,1.498741,1.108564,0.589039
8.55,14.657006,5.666661,0.039178,1.498498,1.108564,0.586611
8.6,14.657006,5.666661,0.039178,1.497995,1.108564,0.58416
8.65,14.657006,5.666661,0.039178,1.49762,1.108564,0.581735
8.7,14.657006,5.666661,0.039178,1.49739,1.108564,0.579313
8.75,14.657006,5.666661,0.039178,1.497707,1.108564,0.576911
8.8,14.657006,5.666661,0.039178,1.49763,1.108564,0.574497
8.85,14.657006,5.666661,0.039178,1.496545,1.108564,0.572134
8.9,14.657006,5.666661,0.039178,1.496732,1.108564,0.569733
8.95,14.657006,5.666661,0.039178,1.496885,1.108564,0.567354
9,14.657006,5.666661,0.039178,1.496555,1.108564,0.56501
9.05,14.657006,5.666661,0.039178,1.496571,1.108564,0.56265
9.1,14.657006,5.666661,0.039178,1.496407,1.108564,0.560321
9.15,14.657006,5.666661,0.039178,1.495393,1.108564,0.557959
9.2,14.657006,5.666661,0.039178,1.496084,1.108564,0.555664
9.25,14.657006,5.666661,0.039178,1.49594,1.108564,0.553346
9.3,14.657006,5.666661,0.039178,1.495712,1.108564,0.551032
9.35,14.657006,5.666661,0.039178,1.495287,1.108564,0.548738
9.4,14.657006,5.666661,0.039178,1.494934,1.108564,0.546455
9.45,14.657006,5.666661,0.039178,1.494941,1.108564,0.54414
9.5,14.657006,5.666661,0.039178,1.494925,1.108564,0.541873
9.55,14.657006,5.666661,0.039178,1.494936,1.108564,0.539612
9.6,14.657006,5.666661,0.039178,1.494647,1.108564,0.537345
9.65,14.657006,5.666661,0.039178,1.49422,1.108564,0.535116
9.7,14.657006,5.666661,0.039178,1.494292,1.108564,0.532865
9.75,14.657006,5.666661,0.039178,1.494101,1.108564,0.530636
9.8,14.657006,5.666661,0.039178,1.494026,1.108564,0.528413
9.85,14.657006,5.666661,0.039178,1.493451,1.108564,0.526169
9.9,14.657006,5.666661,0.039178,1.492938,1.108564,0.523941
9.95,14.657006,5.666661,0.039178,1.493329,1.108564,0.521744
10,14.657006,5.666661,0.039178,1.493552,1.108564,0.519543
10.05,14.657006,5.666661,0.039178,1.49329,1.108564,0.517326
10.1,14.657006,5.666661,0.039178,1.493197,1.108564,0.515134
10.15,14.657006,5.666661,0.039178,1.493086,1.108564,0.512936
10.2,14.657006,5.666661,0.039178,1.492634,1.108564,0.510762
10.25,14.657006,5.666661,0.039178,1.492419,1.108564,0.50859
10.3,14.657006,5.666661,0.039178,1.492302,1.108564,0.506428
10.35,14.657006,5.666661,0.039178,1.491966,1.108564,0.504289
10.4,14.657006,5.666661,0.039178,1.491523,1.108564,0.50217
10.45,14.657006,5.666661,0.039178,1.492351,1.108564,0.500018
10.5,14.657006,5.666661,0.039178,1.492284,1.108564,0.49791
10.55,14.657006,5.666661,0.039178,1.491558,1.108564,0.495783
10.6,14.657006,5.666661,0.039178,1.491022,1.108564,0.493663
10.65,14.657006,5.666661,0.039178,1.490939,1.108564,0.491556
10.7,14.657006,5.666661,0.039178,1.490799,1.108564,0.48944
10.75,14.657006,5.666661,0.039178,1.491288,1.108564,0.487344
10.8,14.657006,5.666661,0.039178,1.491223,1.108564,0.485259
10.85,14.657006,5.666661,0.039178,1.490305,1.108564,0.483186
10.9,14.657006,5.666661,0.039178,1.490389,1.108564,0.48109
10.95,14.657006,5.666661,0.039178,1.490585,1.108564,0.479007
11,14.657006,5.666661,0.039178,1.491032,1.108564,0.476917
11.05,14.657006,5.666661,0.039178,1.491009,1.108564,0.474871
11.1,14.657006,5.666661,0.039178,1.49025,1.108564,0.472793
11.15,14.657006,5.666661,0.039178,1.489992,1.108564,0.470737
11.2,14.657006,5.666661,0.039178,1.490667,1.108564,0.468717
11.25,14.657006,5.666661,0.039178,1.490406,1.108564,0.466663
11.3,14.657006,5.666661,0.039178,1.490264,1.108564,0.464617
11.35,14.657006,5.666661,0.039178,1.490091,1.108564,0.462599
11.4,14.657006,5.666661,0.039178,1.489407,1.108564,0.460592
11.45,14.657006,5.666661,0.039178,1.489821,1.108564,0.458554
11.5,14.657006,5.666661,0.039178,1.489508,1.108564,0.456554
11.55,14.657006,5.666661,0.039178,1.489907,1.108564,0.45453
11.6,14.657006,5.666661,0.039178,1.489541,1.108564,0.452526
11.65,14.657006,5.666661,0.039178,1.489075,1.108564,0.450519
11.7,14.657006,5.666661,0.039178,1.488627,1.108564,0.448511
11.75,14.657006,5.666661,0.039178,1.489021,1.108564,0.446532
11.8,14.657006,5.666661,0.039178,1.48921,1.108564,0.444546
11.85,14.657006,5.666661,0.039178,1.489256,1.108564,0.442566
11.9,14.657006,5.666661,0.039178,1.488591,1.108564,0.4406
11.95,14.657006,5.666661,0.039178,1.488165,1.108564,0.438636
12,14.657006,5.666661,0.039178,1.488416,1.108564,0.436659
12.05,14.657006,5.666661,0.039178,1.487987,1.108564,0.43472
12.1,14.657006,5.666661,0.039178,1.488165,1.108564,0.432771
12.15,14.657006,5.666661,0.039178,1.488726,1.108564,0.430811
12.2,14.657006,5.666661,0.039178,1.488339,1.108564,0.428874
12.25,14.657006,5.666661,0.039178,1.488251,1.108564,0.426952
12.3,14.657006,5.666661,0.039178,1.488387,1.108564,0.425039
12.35,14.657006,5.666661,0.039178,1.488001,1.108564,0.423109
12.4,14.657006,5.666661,0.039178,1.486838,1.108564,0.421148
12.45,14.657006,5.666661,0.039178,1.487383,1.108564,0.419247
12.5,14.657006,5.666661,0.039178,1.487012,1.108564,0.417307
12.55,14.657006,5.666661,0.039178,1.486463,1.108564,0.415355
12.6,14.657006,5.666661,0.039178,1.487403,1.108564,0.413454
12.65,14.657006,5.666661,0.039178,1.487279,1.108564,0.41156
12.7,14.657006,5.666661,0.039178,1.486298,1.108564,0.409665
12.75,14.657006,5.666661,0.039178,1.485355,1.108564,0.407785
12.8,14.657006,5.666661,0.039178,1.485113,1.108564,0.4059
12.85,14.657006,5.666661,0.039178,1.485958,1.108564,0.403995
12.9,14.657006,5.666661,0.039178,1.486332,1.108564,0.402124
12.95,14.657006,5.666661,0.039178,1.486711,1.108564,0.400264
13,14.657006,5.666661,0.039178,1.48709,1.108564,0.398396
13.05,14.657006,5.666661,0.039178,1.485978,1.108564,0.396523
13.1,14.657006,5.666661,0.039178,1.484699,1.108564,0.394638
13.15,14.657006,5.666661,0.039178,1.484882,1.108564,0.392797
13.2,14.657006,5.666661,0.039178,1.484526,1.108564,0.390923
13.25,14.657006,5.666661,0.039178,1.485654,1.108564,0.389095
13.3,14.657006,5.666661,0.039178,1.485737,1.108564,0.387222
13.35,14.657006,5.666661,0.039178,1.486375,1.108564,0.385368
13.4,14.657006,5.666661,0.039178,1.485774,1.108564,0.383537
13.45,14.657006,5.666661,0.039178,1.484421,1.108564,0.381718
13.5,14.657006,5.666661,0.039178,1.483763,1.108564,0.379891
13.55,14.657006,5.666661,0.039178,1.484028,1.108564,0.378048
13.6,14.657006,5.666661,0.039178,1.48428,1.108564,0.376225
13.65,14.657006,5.666661,0.039178,1.485469,1.108564,0.374381
13.7,14.657006,5.666661,0.039178,1.485422,1.108564,0.372532
13.75,14.657006,5.666661,0.039178,1.484216,1.108564,0.370698
13.8,14.657006,5.666661,0.039178,1.483286,1.108564,0.368867
13.85,14.657006,5.666661,0.039178,1.483266,1.108564,0.367056
13.9,14.657006,5.666661,0.039178,1.484152,1.108564,0.365268
13.95,14.657006,5.666661,0.039178,1.484767,1.108564,0.363464
14,14.657006,5.666661,0.039178,1.485669,1.108564,0.361669
14.05,14.657006,5.666661,0.039178,1.483901,1.108564,0.359912
14.1,14.657006,5.666661,0.039178,1.482268,1.108564,0.35816
14.15,14.657006,5.666661,0.039178,1.482049,1.108564,0.356375
14.2,14.657006,5.666661,0.039178,1.482087,1.108564,0.354603
14.25,14.657006,5.666661,0.039178,1.482936,1.108564,0.35282
14.3,14.657006,5.666661,0.039178,1.484489,1.108564,0.351026
14.35,14.657006,5.666661,0.039178,1.483919,1.108564,0.349216
14.4,14.657006,5.666661,0.039178,1.482792,1.108564,0.347444
14.45,14.657006,5.666661,0.039178,1.48318,1.108564,0.34572
14.5,14.657006,5.666661,0.039178,1.482298,1.108564,0.343941
14.55,14.657006,5.666661,0.039178,1.480897,1.108564,0.342129
14.6,14.657006,5.666661,0.039178,1.481303,1.108564,0.340369
14.65,14.657006,5.666661,0.039178,1.482388,1.108564,0.338621
14.7,14.657006,5.666661,0.039178,1.483367,1.108564,0.336861
14.75,14.657006,5.666661,0.039178,1.483966,1.108564,0.335143
14.8,14.657006,5.666661,0.039178,1.482893,1.108564,0.333386
14.85,14.657006,5.666661,0.039178,1.481164,1.108564,0.331668
14.9,14.657006,5.666661,0.039178,1.480809,1.108564,0.329917
14.95,14.657006,5.666661,0.039178,1.480581,1.108564,0.328181
15,14.657006,5.666661,0.039178,1.480442,1.108564,0.326463
15.05,14.657006,5.666661,0.039178,1.481412,1.108564,0.324721
15.1,14.657006,5.666661,0.039178,1.482484,1.108564,0.322992
15.15,14.657006,5.666661,0.039178,1.483655,1.108564,0.321268
15.2,14.657006,5.666661,0.039178,1.483436,1.108564,0.319546
15.25,14.657006,5.666661,0.039178,1.480435,1.108564,0.317759
15.3,14.657006,5.666661,0.039178,1.479322,1.108564,0.316029
15.35,14.657006,5.666661,0.039178,1.478753,1.108564,0.314302
15.4,14.657006,5.666661,0.039178,1.479108,1.108564,0.312591
15.45,14.657006,5.666661,0.039178,1.480868,1.108564,0.310917
15.5,14.657006,5.666661,0.039178,1.482072,1.108564,0.309214
15.55,14.657006,5.666661,0.039178,1.483363,1.108564,0.307511
