Altitude ,density 
2798.271,0.929
2779.324,0.93
2760.397,0.932
2741.488,0.934
2722.597,0.936
2703.725,0.938
2684.872,0.939
2666.036,0.941
2647.219,0.943
2628.42,0.945
2609.638,0.946
2590.875,0.948
2572.13,0.95
2553.402,0.952
2534.692,0.954
2515.999,0.955
2497.324,0.957
2478.667,0.959
2460.027,0.961
2441.404,0.963
2422.8,0.965
2404.213,0.966
2385.644,0.968
2367.093,0.97
2348.56,0.972
2330.045,0.974
2311.547,0.976
2293.067,0.978
2274.604,0.979
2256.159,0.981
2237.732,0.983
2219.321,0.985
2200.928,0.987
2182.553,0.989
2164.194,0.99
2145.852,0.992
2127.528,0.994
2109.22,0.996
2090.929,0.998
2072.655,0.999
2054.397,1.001
2036.156,1.003
2017.932,1.005
1999.723,1.007
1981.532,1.008
1963.357,1.01
1945.198,1.012
1927.056,1.014
1908.931,1.016
1890.822,1.018
1872.731,1.02
1854.656,1.022
1836.597,1.023
1818.556,1.025
1800.531,1.027
1782.522,1.029
1764.53,1.031
1746.554,1.033
1728.595,1.035
1710.652,1.036
1692.725,1.038
1674.814,1.04
1656.919,1.042
1639.041,1.044
1621.178,1.046
1603.331,1.048
1585.499,1.049
1567.684,1.051
1549.884,1.053
1532.099,1.055
1514.331,1.057
1496.577,1.058
1478.839,1.06
1461.116,1.062
1443.409,1.064
1425.718,1.066
1408.042,1.068
1390.382,1.07
1372.738,1.072
1355.11,1.074
1337.497,1.076
1319.9,1.078
1302.319,1.079
1284.753,1.081
1267.202,1.083
1249.667,1.085
1232.148,1.087
1214.643,1.089
1197.154,1.091
1179.68,1.093
1162.221,1.094
1144.777,1.096
1127.348,1.098
1109.934,1.1
1092.535,1.102
1075.15,1.104
1057.781,1.106
1040.426,1.107
1023.085,1.109
1005.759,1.111
988.448,1.113
,
,
988.413,1.113
988.248,1.113
988.078,1.113
987.902,1.113
987.72,1.113
987.532,1.113
987.336,1.113
987.133,1.113
986.921,1.113
986.701,1.113
986.47,1.113
986.229,1.113
985.975,1.113
985.708,1.113
985.425,1.113
985.125,1.113
984.806,1.113
984.463,1.113
984.094,1.113
983.693,1.113
983.253,1.114
982.763,1.114
982.211,1.114
981.574,1.114
980.813,1.114
979.859,1.114
978.544,1.114
976.312,1.114
973.598,1.115
970.839,1.115
968.081,1.115
965.323,1.116
962.566,1.116
959.81,1.116
957.055,1.116
954.3,1.117
951.546,1.117
948.793,1.117
946.041,1.118
943.29,1.118
940.539,1.118
937.789,1.119
935.04,1.119
932.291,1.119
929.543,1.12
926.796,1.12
924.05,1.12
921.305,1.12
918.56,1.121
915.816,1.121
913.073,1.121
910.33,1.122
907.589,1.122
904.848,1.122
902.107,1.123
899.368,1.123
896.629,1.123
893.891,1.124
891.154,1.124
888.418,1.124
885.682,1.124
882.947,1.125
880.213,1.125
877.479,1.125
874.746,1.126
872.014,1.126
869.283,1.126
866.553,1.127
863.823,1.127
861.094,1.127
858.365,1.128
855.638,1.128
852.911,1.128
850.185,1.128
847.46,1.129
844.735,1.129
842.011,1.129
839.288,1.13
836.566,1.13
833.844,1.13
831.123,1.131
828.403,1.131
825.683,1.131
822.964,1.131
820.246,1.132
817.529,1.132
814.813,1.132
812.097,1.133
809.382,1.133
806.667,1.133
803.953,1.134
801.241,1.134
798.528,1.134
795.817,1.135
793.106,1.135
790.396,1.135
787.687,1.135
784.978,1.136
782.27,1.136
779.563,1.136
776.856,1.137
774.151,1.137
771.446,1.137
768.741,1.138
766.038,1.138
763.335,1.138
760.633,1.138
757.931,1.139
755.231,1.139
752.531,1.139
749.831,1.14
747.133,1.14
744.435,1.14
741.738,1.141
739.041,1.141
736.345,1.141
733.65,1.141
730.956,1.142
728.262,1.142
725.569,1.142
722.877,1.143
720.186,1.143
717.495,1.143
714.805,1.144
712.115,1.144
709.427,1.144
706.739,1.144
704.051,1.145
701.365,1.145
698.679,1.145
695.993,1.146
693.309,1.146
690.625,1.146
687.942,1.147
685.26,1.147
682.578,1.147
679.897,1.147
677.217,1.148
674.537,1.148
671.858,1.148
669.18,1.149
666.502,1.149
663.825,1.149
661.149,1.149
658.474,1.15
655.799,1.15
653.125,1.15
650.451,1.151
647.779,1.151
645.106,1.151
642.435,1.152
639.764,1.152
637.094,1.152
634.425,1.152
631.757,1.153
629.089,1.153
626.421,1.153
623.755,1.154
621.089,1.154
618.424,1.154
615.759,1.155
613.095,1.155
610.432,1.155
607.77,1.155
605.108,1.156
602.447,1.156
599.786,1.156
597.126,1.157
594.467,1.157
